ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
535,20210101,20210113,20210108,11051,SO74253,24.99
528,20210101,20210113,20210108,11051,SO74253,4.99
222,20210101,20210113,20210108,11051,SO74253,34.99
535,20210101,20210113,20210108,11079,SO74254,24.99
539,20210101,20210113,20210108,15154,SO74255,24.99
536,20210101,20210113,20210108,17250,SO74256,29.99
528,20210101,20210113,20210108,17250,SO74256,4.99
485,20210101,20210113,20210108,19091,SO74257,21.98
485,20210101,20210113,20210108,18304,SO74258,21.98
480,20210101,20210113,20210108,18304,SO74258,2.29
476,20210101,20210113,20210108,26772,SO74259,69.99
489,20210101,20210113,20210108,26772,SO74259,53.99
541,20210101,20210113,20210108,16486,SO74260,28.99
530,20210101,20210113,20210108,16486,SO74260,4.99
480,20210101,20210113,20210108,16486,SO74260,2.29
222,20210101,20210113,20210108,11733,SO74261,34.99
530,20210101,20210113,20210108,28258,SO74262,4.99
480,20210101,20210113,20210108,28258,SO74262,2.29
540,20210101,20210113,20210108,25189,SO74263,32.60
483,20210101,20210113,20210108,25189,SO74263,120.00
536,20210101,20210113,20210108,22187,SO74264,29.99
480,20210101,20210113,20210108,22187,SO74264,2.29
528,20210101,20210113,20210108,22105,SO74265,4.99
536,20210101,20210113,20210108,22105,SO74265,29.99
480,20210101,20210113,20210108,22105,SO74265,2.29
484,20210101,20210113,20210108,22105,SO74265,7.95
475,20210101,20210113,20210108,20757,SO74266,69.99
477,20210101,20210113,20210108,16368,SO74267,4.99
217,20210101,20210113,20210108,16368,SO74267,34.99
228,20210101,20210113,20210108,16368,SO74267,49.99
225,20210101,20210113,20210108,16368,SO74267,8.99
528,20210101,20210113,20210108,21925,SO74268,4.99
480,20210101,20210113,20210108,21925,SO74268,2.29
475,20210101,20210113,20210108,14546,SO74269,69.99
491,20210101,20210113,20210108,14546,SO74269,53.99
477,20210101,20210113,20210108,23768,SO74270,4.99
465,20210101,20210113,20210108,23768,SO74270,24.49
529,20210101,20210113,20210108,12606,SO74271,3.99
217,20210101,20210113,20210108,12606,SO74271,34.99
225,20210101,20210113,20210108,12606,SO74271,8.99
537,20210101,20210113,20210108,11142,SO74272,35.00
528,20210101,20210113,20210108,11142,SO74272,4.99
214,20210101,20210113,20210108,11142,SO74272,34.99
530,20210101,20210113,20210108,25570,SO74273,4.99
465,20210101,20210113,20210108,25570,SO74273,24.49
530,20210101,20210113,20210108,28917,SO74274,4.99
487,20210101,20210113,20210108,28917,SO74274,54.99
463,20210101,20210113,20210108,28917,SO74274,24.49
477,20210101,20210113,20210108,11383,SO74275,4.99
479,20210101,20210113,20210108,11383,SO74275,8.99
214,20210101,20210113,20210108,11383,SO74275,34.99
485,20210101,20210113,20210108,17491,SO74276,21.98
222,20210101,20210113,20210108,17491,SO74276,34.99
485,20210102,20210114,20210109,16930,SO74277,21.98
467,20210102,20210114,20210109,16930,SO74277,24.49
475,20210102,20210114,20210109,27516,SO74278,69.99
490,20210102,20210114,20210109,27516,SO74278,53.99
477,20210102,20210114,20210109,11115,SO74279,4.99
478,20210102,20210114,20210109,11115,SO74279,9.99
473,20210102,20210114,20210109,11115,SO74279,63.50
484,20210102,20210114,20210109,11467,SO74280,7.95
529,20210102,20210114,20210109,13124,SO74281,3.99
541,20210102,20210114,20210109,26637,SO74282,28.99
530,20210102,20210114,20210109,26637,SO74282,4.99
463,20210102,20210114,20210109,26637,SO74282,24.49
539,20210102,20210114,20210109,28762,SO74283,24.99
480,20210102,20210114,20210109,28762,SO74283,2.29
535,20210102,20210114,20210109,26193,SO74284,24.99
480,20210102,20210114,20210109,26193,SO74284,2.29
484,20210102,20210114,20210109,26193,SO74284,7.95
528,20210102,20210114,20210109,22548,SO74285,4.99
536,20210102,20210114,20210109,22548,SO74285,29.99
480,20210102,20210114,20210109,22548,SO74285,2.29
478,20210102,20210114,20210109,21714,SO74286,9.99
477,20210102,20210114,20210109,21714,SO74286,4.99
231,20210102,20210114,20210109,21714,SO74286,49.99
528,20210102,20210114,20210109,17867,SO74287,4.99
536,20210102,20210114,20210109,17867,SO74287,29.99
222,20210102,20210114,20210109,17867,SO74287,34.99
237,20210102,20210114,20210109,17867,SO74287,49.99
478,20210102,20210114,20210109,21935,SO74288,9.99
477,20210102,20210114,20210109,21935,SO74288,4.99
463,20210102,20210114,20210109,21935,SO74288,24.49
477,20210102,20210114,20210109,21901,SO74289,4.99
478,20210102,20210114,20210109,21901,SO74289,9.99
476,20210102,20210114,20210109,12795,SO74290,69.99
237,20210102,20210114,20210109,12795,SO74290,49.99
477,20210102,20210114,20210109,25101,SO74291,4.99
473,20210102,20210114,20210109,25101,SO74291,63.50
528,20210102,20210114,20210109,28245,SO74292,4.99
480,20210102,20210114,20210109,28245,SO74292,2.29
528,20210102,20210114,20210109,15306,SO74293,4.99
222,20210102,20210114,20210109,15306,SO74293,34.99
228,20210102,20210114,20210109,15306,SO74293,49.99
477,20210102,20210114,20210109,16240,SO74294,4.99
485,20210102,20210114,20210109,18535,SO74295,21.98
528,20210102,20210114,20210109,16274,SO74296,4.99
528,20210102,20210114,20210109,18153,SO74297,4.99
537,20210102,20210114,20210109,15448,SO74298,35.00
528,20210102,20210114,20210109,15448,SO74298,4.99
528,20210102,20210114,20210109,14999,SO74299,4.99
537,20210102,20210114,20210109,14999,SO74299,35.00
480,20210102,20210114,20210109,14999,SO74299,2.29
485,20210102,20210114,20210109,14980,SO74300,21.98
217,20210102,20210114,20210109,14980,SO74300,34.99
538,20210102,20210114,20210109,24877,SO74301,21.49
529,20210102,20210114,20210109,24877,SO74301,3.99
481,20210102,20210114,20210109,24877,SO74301,8.99
538,20210102,20210114,20210109,21113,SO74302,21.49
480,20210102,20210114,20210109,21113,SO74302,2.29
477,20210102,20210114,20210109,24145,SO74303,4.99
